Timestamp,TEA,FLAVOR,MILK,ICE [Ice Level],SWEETNESS [Sweetness Level],Toppings,NAME,,Started,Completed,
2/9/2023 19:06:36,BSL,,MILK,,,BOBA,lucienne,,TRUE,TRUE,
2/9/2023 19:07:19,THAI,,MILK,50%,75%,,thira,,TRUE,TRUE,
2/9/2023 19:10:03,TARO,,Oat,50%,25%,BOBA,hannah,,TRUE,TRUE,
2/9/2023 19:10:34,JSMN,"KQ, MNGO",,50%,50%,BOBA,hannah,,TRUE,TRUE,
2/9/2023 19:11:27,BLK,ROSE,MILK,25%,50%,BOBA,ishika,,TRUE,TRUE,
2/9/2023 19:12:05,JSMN,,MILK,0%,100%,BOBA,simran,,TRUE,TRUE,ew2382
2/9/2023 19:14:13,MTCH,,MILK,,,BOBA,mai,,TRUE,TRUE,
2/9/2023 19:14:42,BLK,PSNFRT,,100%,75%,BOBA,mai 2,,TRUE,TRUE,
2/9/2023 19:21:33,JSMN,,MILK,0%,25%,BOBA,ulas,,TRUE,TRUE,
2/9/2023 19:22:31,JSMN,,MILK,,0%,BOBA,serenat,,TRUE,TRUE,
2/9/2023 19:23:06,JSMN,,MILK,75%,75%,,kendra,,TRUE,TRUE,
2/9/2023 19:23:44,THAI,,MILK,100%,100%,BOBA,waldo,,TRUE,TRUE,
2/9/2023 19:28:16,JSMN,PCH,,25%,75%,BOBA,iram (ee-ram),,TRUE,TRUE,
2/9/2023 19:30:40,THAI,,MILK,100%,75%,BOBA,london,,TRUE,TRUE,
2/9/2023 19:31:21,JSMN,"MNGO, PSNFRT",,50%,50%,POPPIN,jadin (jay-den),,TRUE,TRUE,
2/9/2023 19:32:04,TARO,,MILK,,50%,BOBA,abby,,TRUE,TRUE,
2/9/2023 19:32:33,JSMN,"MNGO, PSNFRT",,50%,50%,"BOBA, LYCHEE",abby 2,,TRUE,TRUE,
2/9/2023 19:33:01,BLK,,MILK,25%,75%,BOBA,jackie,,TRUE,TRUE,
2/9/2023 19:35:16,MTCH,,MILK,75%,,,lauren,,TRUE,TRUE,
2/9/2023 19:36:13,JSMN,"PSNFRT, PCH",,25%,25%,LYCHEE,layla,,TRUE,TRUE,
2/9/2023 19:37:08,BLK,ROSE,MILK,25%,25%,BOBA,alex,,TRUE,TRUE,
2/9/2023 19:37:49,JSMN,"MNGO, PSNFRT",,25%,50%,BOBA,stephanie,,TRUE,TRUE,
2/9/2023 19:38:58,BSL,,MILK,,,BOBA,tara (2% milk),,TRUE,TRUE,
2/9/2023 19:40:54,JSMN,"MNGO, PSNFRT",,50%,75%,LYCHEE,jessica,,TRUE,TRUE,
2/9/2023 19:41:43,BLK,ROSE,MILK,25%,50%,LYCHEE,terrence,,TRUE,TRUE,
2/9/2023 19:42:23,THAI,,MILK,0%,50%,BOBA,joe,,TRUE,TRUE,
2/9/2023 19:44:00,JSMN,,MILK,25%,100%,BOBA,anu (ah-new),,TRUE,TRUE,
2/9/2023 19:44:49,BSL,,MILK,,,BOBA,nate,,TRUE,TRUE, `
2/9/2023 19:45:52,THAI,,MILK,25%,50%,BOBA,stephanie,,TRUE,TRUE,
2/9/2023 19:46:28,TARO,,MILK,25%,100%,BOBA,blessing,,TRUE,TRUE,
2/9/2023 19:47:00,BSL,,MILK,,,BOBA,philip,,TRUE,TRUE,
2/9/2023 19:47:31,TARO,,Oat,,50%,BOBA,matthew,,TRUE,TRUE,
2/9/2023 19:48:25,OLNG,"HNY, PCH",,25%,75%,BOBA,priscilla,,TRUE,TRUE,
2/9/2023 19:49:04,BLK,PSNFRT,,0%,100%,BOBA,marina,,TRUE,TRUE,
2/9/2023 19:50:35,JSMN,"MNGO, PSNFRT",,100%,25%,,ziona (zye-ona),,TRUE,TRUE,
2/9/2023 19:51:15,OLNG,,MILK,50%,75%,BOBA,ruthie,,TRUE,TRUE,
2/9/2023 19:51:43,THAI,,MILK,50%,75%,BOBA,sabrina,,TRUE,TRUE,
2/9/2023 19:52:10,BLK,,MILK,25%,25%,BOBA,rue,,TRUE,TRUE,
2/9/2023 19:52:53,THAI,,MILK,50%,50%,BOBA,taylor,,TRUE,TRUE,
2/9/2023 19:53:41,THAI,,MILK,50%,75%,BOBA,kimin (kee-min),,TRUE,TRUE,
2/9/2023 19:54:09,JSMN,"MNGO, PSNFRT",,50%,50%,LYCHEE,kimin 2,,TRUE,TRUE,
2/9/2023 19:55:41,JSMN,WNTML,MILK,25%,100%,LYCHEE,rom,,TRUE,TRUE,
2/9/2023 19:56:59,OLNG,MNGO,,0%,25%,POPPIN,luke,,TRUE,TRUE,
2/9/2023 19:57:37,BSL,,MILK,0%,,BOBA,josh,,TRUE,TRUE,
2/9/2023 19:59:08,JSMN,"MNGO, PSNFRT",,25%,100%,POPPIN,ishita,,TRUE,TRUE,
2/9/2023 19:59:43,BSL,,MILK,,,BOBA,ella,,TRUE,TRUE,
2/9/2023 20:00:27,BLK,MNGO,,25%,100%,POPPIN,amy,,TRUE,TRUE,
2/9/2023 20:01:32,BLK,,MILK,75%,75%,BOBA,megan,,TRUE,\,
2/9/2023 20:01:49,BLK,,MILK,75%,75%,BOBA,megan 2,,TRUE,TRUE,
2/9/2023 20:02:15,JSMN,,MILK,25%,25%,BOBA,carter,,TRUE,TRUE,
2/9/2023 20:02:50,TARO,,MILK,,50%,BOBA,joey,,TRUE,TRUE,
2/9/2023 20:04:11,JSMN,WNTML,MILK,50%,75%,,kamdeh (kahm-deh),,TRUE,TRUE,
2/9/2023 20:04:52,OLNG,"HNY, PCH",,0%,75%,BOBA,cooper,,TRUE,TRUE,
2/9/2023 20:05:27,JSMN,"KQ, LYCH",,25%,100%,LYCHEE,mars,,TRUE,TRUE,
2/9/2023 20:06:08,BLK,PCH,,100%,50%,BOBA,anna,,TRUE,TRUE,
2/9/2023 20:06:43,JSMN,"MNGO, PSNFRT",,50%,75%,BOBA,anna 2,,TRUE,TRUE,
2/9/2023 20:08:07,JSMN,,MILK,50%,100%,BOBA,rico,,TRUE,TRUE,
2/9/2023 20:08:38,THAI,,MILK,25%,100%,BOBA,ella,,TRUE,,
2/9/2023 20:09:01,BSL,,MILK,,,BOBA,molly,,\,TRUE,
2/9/2023 20:09:33,JSMN,"MNGO, PSNFRT",,25%,50%,BOBA,patricia,,TRUE,TRUE,
2/9/2023 20:10:05,BSL,,MILK,,,BOBA,ava,,TRUE,TRUE,
2/9/2023 20:10:58,OLNG,ROSE,,50%,75%,,izzy,,TRUE,TRUE,
2/9/2023 20:11:50,BLK,PCH,,25%,75%,LYCHEE,kayla,,TRUE,TRUE,
2/9/2023 20:12:20,JSMN,PCH,,25%,50%,LYCHEE,claire,,TRUE,TRUE,
2/9/2023 20:12:54,DTYMTCH,,Oat,,,BOBA,hasana,,TRUE,TRUE,
2/9/2023 20:13:30,THAI,,MILK,50%,100%,BOBA,lenny,,TRUE,TRUE,
2/9/2023 20:14:25,OLNG,,MILK,25%,100%,BOBA,leslie,,TRUE,TRUE,
2/9/2023 20:15:38,MTCH,,Oat,,,BOBA,rosie,,\,TRUE,
2/9/2023 20:15:50,MTCH,,Oat,,,BOBA,rosie 2,,TRUE,TRUE,
2/9/2023 20:16:18,OLNG,"HNY, PCH",,100%,100%,BOBA,rosie 3,,TRUE,TRUE,
2/9/2023 20:16:46,TARO,,Soy,,25%,BOBA,rosie 4,,TRUE,,
2/9/2023 20:17:18,BSL,,MILK,,,BOBA,natasha,,,TRUE,
2/9/2023 20:17:57,JSMN,"KQ, LYCH",,50%,100%,,skyler,,TRUE,TRUE,
2/9/2023 20:18:42,TARO,,Almond,,75%,BOBA,chau (cho),,TRUE,TRUE,
2/9/2023 20:19:30,BLK,ROSE,Almond,75%,75%,BOBA,chau 2,,TRUE,TRUE,
2/9/2023 20:20:40,THAI,,MILK,25%,100%,BOBA,bob,,TRUE,TRUE,
2/9/2023 20:21:13,JSMN,"MNGO, PCH",,50%,75%,LYCHEE,angie,,TRUE,TRUE,
2/9/2023 20:22:36,JSMN,"MNGO, PSNFRT",,25%,75%,LYCHEE,bianca,,TRUE,TRUE,
2/9/2023 20:23:01,BSL,,MILK,,,BOBA,diana,,TRUE,TRUE,
2/9/2023 20:23:27,DTYMTCH,,MILK,,,BOBA,theo,,\,TRUE,
2/9/2023 20:23:40,BSL,,MILK,,,BOBA,theo 2,,TRUE,TRUE,
2/9/2023 20:24:09,BSL,,MILK,,,BOBA,leo (lee-oh),,\,TRUE,
2/9/2023 20:24:50,JSMN,"KQ, LYCH",,50%,50%,BOBA,zorah,,TRUE,TRUE,
2/9/2023 20:25:55,BLK,,MILK,0%,75%,,amy,,TRUE,TRUE,
2/9/2023 20:26:57,OLNG,"HNY, PCH",,25%,75%,LYCHEE,hanah,,TRUE,TRUE,
2/9/2023 20:30:19,BSL,,MILK,,,BOBA,phyllis,,TRUE,TRUE,
2/9/2023 20:34:58,JSMN,"MNGO, PSNFRT",,50%,75%,BOBA,mariana,,TRUE,TRUE,
2/9/2023 20:37:17,JSMN,PCH,,0%,50%,"BOBA, POPPIN",joana,,TRUE,TRUE,
2/9/2023 20:37:48,JSMN,,MILK,50%,50%,BOBA,bella,,TRUE,TRUE,
2/9/2023 20:40:17,BLK,,MILK,50%,50%,BOBA,Elizabeth 1,,TRUE,TRUE,
2/9/2023 20:40:57,MTCH,,Oat,,,"BOBA, LYCHEE",Elizabeth 2,,TRUE,TRUE,
2/9/2023 20:41:38,OLNG,"HNY, PCH",,50%,100%,LYCHEE,jeremy,,TRUE,TRUE,
2/9/2023 20:44:47,JSMN,"MNGO, PSNFRT",,25%,100%,BOBA,miraal,,TRUE,TRUE,
2/9/2023 20:45:29,BLK,ROSE,MILK,25%,100%,,nisha,,TRUE,TRUE,
2/9/2023 20:46:00,OLNG,"HNY, PCH",,25%,75%,BOBA,dean,,TRUE,TRUE,
2/9/2023 20:46:26,TARO,,Oat,,50%,BOBA,niketa,,TRUE,TRUE,
2/9/2023 20:47:08,OLNG,"KQ, PCH",,25%,25%,,isabel,,TRUE,TRUE,
2/9/2023 20:47:53,THAI,,MILK,25%,50%,BOBA,nick,,TRUE,TRUE,
2/9/2023 20:49:09,JSMN,KQ,,25%,25%,BOBA,reia (ray-yuh),,TRUE,TRUE,
